album_name,album_release_date,artist_name,is_playable,isrc,popularity,recordings_title,song_title,ingested_at
Mimpi Indahku,2020-09-05,AAHIL ALEX,true,FRX762028158,0,Mimpi Indahku,MIMPI INDAHKU,2025-03-05 14:01:12
Stasiun Balapan,2000-07-27,Didi Kempot,true,FRX282291284,1,Lingso Trisno,LINGSO TRISNO,2025-03-05 14:01:12
Dream Dancer,2021-08-27,Casper Esmann,true,ushm82183333,18,Dream Dancer,DREAM DANCER,2025-03-05 14:01:12
Ketaman Asmoro,2012-07-27,Safitri,true,FRX452200890,0,Lingso Trisno,LINGSO TRISNO,2025-03-05 14:01:12
Bintang Tertutup Awan,2023-09-18,Gunawan,true,IDA172307068,19,Bintang Tertutup Awan,BINTANG TERTUTUP AWAN,2025-03-05 14:01:12
INDONESIAN PHONK,2023-10-24,HXLVNG,true,DGA0L2302356,20,Nina Bobo,NINA BOBO,2025-03-05 14:01:12
Dream Dancer,2021-07-15,Sansha,true,GX3Q92087187,12,Dream Dancer,DREAM DANCER,2025-03-05 14:01:12
Lagu Anak-Anak Terbaik,2023-04-13,Lagu Anak-Anak,true,TCAHA2345093,32,Nina Bobo,NINA BOBO,2025-03-05 14:01:12
Kampungan,1991-12-26,Slank,true,IDA439100015,25,Nina Bobo,NINA BOBO,2025-03-05 14:01:12
Songs from Rainbow Hill,2018-11-19,Ben Crosland,true,GBWMY1850800,17,Dream Dancer,DREAM DANCER,2025-03-05 14:01:12
Hits Jawa,2007-01-01,Didi Kempot,true,IDA401401459,0,Lingso Trisno,LINGSO TRISNO,2025-03-05 14:01:12
Taun 2000,2021-01-01,Wati S,true,UKRKJ2101009,0,Tahun 2000,TAHUN 2000,2025-03-05 14:01:12
Tear,2023-02-17,Korine,true,USL4Q2226935,13,Dream Dancer,DREAM DANCER,2025-03-05 14:01:12
Rahasia Cinta,2024-07-24,Thiago,true,GXD7V2252007,0,Akhir Rasa Ini,AKHIR RASA INI,2025-03-05 14:01:12
Dream Dancer,2019-11-21,Sumix,true,GBSMU7107060,12,Dream Dancer,DREAM DANCER,2025-03-05 14:01:12
Mari Menyanyi Lagu Anak-Anak Indonesia Bersama,2020-06-26,Alif,true,MYIR12000025,24,Nina Bobo,NINA BOBO,2025-03-05 14:01:12
Mimpi indahku,2024-12-09,ARYSTYA,true,SGW502262639,0,Mimpi indahku,MIMPI INDAHKU,2025-03-05 14:01:12
Stronger than Fiction,2013-12-01,Andre Harihandoyo & Sonic People,true,USX9P1309972,0,Who Took My Money,WHO TOOK MY MONEY,2025-03-05 14:01:12
Tatanan Ati,2021-12-17,Dhe Baz,true,FRX872195065,0,Tatanan Ati,TATANAN ATI,2025-03-05 14:01:12
Suara Hati,2022-06-10,Willy Anggawinata,true,QZFYZ2244890,16,Mimpi Indahku,MIMPI INDAHKU,2025-03-05 14:01:12
BANGSAKU INDONESIA,2021-11-20,Edard & Anky,true,FRX872176011,0,BANGSAKU INDONESIA,BANGSAKU INDONESIA,2025-03-05 14:01:12
mimpi indahku,2024-08-13,Ruang reggae,true,GXD7V2434954,0,mimpi indahku,MIMPI INDAHKU,2025-03-05 14:01:12
Pop Anak-Anak Volume 1,1973-12-01,Koes Plus,true,QZWFX2431920,1,Bernyanyi Sambil Menari,BERNYANYI SAMBIL MENARI,2025-03-05 14:01:12
Mimpi Indahku,2022-02-14,Willy Anggawinata,true,QZFYZ2244890,7,Mimpi Indahku,MIMPI INDAHKU,2025-03-05 14:01:12
Dream Dancer,2024-06-14,Dr.Csiga,true,TCAHZ2401241,15,Dream Dancer,DREAM DANCER,2025-03-05 14:01:12
Akhir Rasa Ini,2021-09-10,Calsten,true,GBSMU0020309,0,Akhir Rasa Ini,AKHIR RASA INI,2025-03-05 14:01:12
Tahun 2000,2023-04-06,OM Adella,true,GBLPF6756535,15,Tahun 2000,TAHUN 2000,2025-03-05 14:01:12
Primadona,2007-03-14,Sherina Munaf,true,IDA170729005,3,Singing Pixie,SINGING PIXIE,2025-03-05 14:01:12
Nina Bobo,2022-11-10,Lagu Anak TK SD,true,GX8KD2276034,34,Nina Bobo,NINA BOBO,2025-03-05 14:01:12
,,,,,,,SUARA,2025-03-05 14:01:12
,,,,,,,B.D.I,2025-03-05 14:01:12
,,,,,,,KLANGENANKU,2025-03-05 14:01:12
,,,,,,,DONT WANNA LOSE YOU,2025-03-05 14:01:12
,,,,,,,ALL OF EM,2025-03-05 14:01:12
,,,,,,,SAUDARA TUA,2025-03-05 14:01:12
